pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,5000000,3,275,442.616,422.7830399999998,421.74,440.293,442.616,420.284,336600,0,0,0,86988,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,5000000,3,275,444.674,422.8285672727273,421.976,440.101,444.674,419.817,336600,0,0,0,89856,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,5000000,4,275,1280.4,538.8351163636362,422.268,1240.63,1280.4,417.62,336600,924,0,0,145817,924,0,0,0.27450980392156865,0.0,0.27450980392156865,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,5000000,4,275,441.28,423.3769527272726,421.801,440.107,441.28,420.28,336600,0,0,0,87842,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,5000000,4,275,446.565,424.2036836363635,421.989,440.394,446.565,419.944,336600,80,0,0,91515,80,0,0,0.023767082590612002,0.0,0.023767082590612002,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,5000000,5,275,871.097,482.381,422.084,861.022,871.097,419.008,336600,458,0,0,130813,458,0,0,0.13606654783125371,0.0,0.13606654783125371,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,5000000,5,275,442.798,422.47551999999973,421.624,434.976,442.798,420.23,336600,0,0,0,86911,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,5000000,5,275,435.987,422.2194945454544,421.814,433.937,435.987,419.944,336600,0,0,0,90282,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,10000000,1,275,2424.28,969.7806109090903,831.296,2074.89,2424.28,825.552,673200,458,0,0,270622,458,0,0,0.06803327391562686,0.0,0.06803327391562686,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,10000000,1,275,868.913,830.5089818181817,829.323,862.11,868.913,826.578,673200,0,0,0,174741,0,0,0,0.0,0.0,0.0,0.0
