warmup,explore_prob,pattern,load,flowsize,mean_delta_pct,p99_delta_pct,rtx_pct
1,20,permutation_random,0.8,100000,1.349,3.518,0.000
1,20,permutation_random,0.8,2000000,-3.084,-4.205,0.315
1,20,permutation_random,0.9,100000,1.497,3.193,0.000
1,20,permutation_random,0.9,2000000,-2.251,-3.164,0.486
1,40,tornado,0.25,100000,0.308,0.221,0.000
1,40,tornado,0.25,2000000,1.947,1.070,0.175
1,40,tornado,0.5,100000,1.248,2.837,0.000
1,40,tornado,0.5,2000000,6.971,9.675,2.211
1,40,tornado,0.75,100000,1.616,3.536,0.000
1,40,tornado,0.75,2000000,1.442,-8.504,2.825
1,40,tornado,1.0,100000,1.266,3.528,0.000
1,40,tornado,1.0,2000000,-4.820,-0.267,2.949
1,40,permutation_random,0.6,100000,0.983,2.499,0.000
1,40,permutation_random,0.6,2000000,-5.251,-4.540,0.006
1,40,permutation_random,0.7,100000,1.434,3.433,0.000
1,40,permutation_random,0.7,2000000,-3.436,-5.231,0.197
1,40,permutation_random,0.8,100000,1.349,3.518,0.000
1,40,permutation_random,0.8,2000000,-2.258,-2.074,0.327
1,40,permutation_random,0.9,100000,1.497,3.193,0.000
1,40,permutation_random,0.9,2000000,-1.578,-1.244,0.484
1,70,tornado,0.25,100000,0.308,0.221,0.000
1,70,tornado,0.25,2000000,-0.055,-1.797,0.000
1,70,tornado,0.5,100000,1.248,2.837,0.000
1,70,tornado,0.5,2000000,2.632,3.923,0.280
1,70,tornado,0.75,100000,1.616,3.536,0.000
1,70,tornado,0.75,2000000,0.567,2.056,1.279
1,70,tornado,1.0,100000,1.266,3.528,0.000
1,70,tornado,1.0,2000000,-1.967,0.911,1.744
1,70,permutation_random,0.6,100000,0.983,2.499,0.000
1,70,permutation_random,0.6,2000000,-2.996,-2.346,0.026
1,70,permutation_random,0.7,100000,1.434,3.433,0.000
1,70,permutation_random,0.7,2000000,-1.744,0.363,0.178
1,70,permutation_random,0.8,100000,1.349,3.518,0.000
1,70,permutation_random,0.8,2000000,-0.645,0.986,0.327
1,70,permutation_random,0.9,100000,1.497,3.193,0.000
1,70,permutation_random,0.9,2000000,-0.503,1.464,0.479
2,0,tornado,0.25,100000,0.308,0.221,0.000
2,0,tornado,0.25,2000000,6.941,9.700,1.685
2,0,tornado,0.5,100000,1.248,2.837,0.000
2,0,tornado,0.5,2000000,15.802,21.221,4.383
2,0,tornado,0.75,100000,1.616,3.536,0.000
2,0,tornado,0.75,2000000,5.593,-12.318,4.484
2,0,tornado,1.0,100000,1.266,3.528,0.000
2,0,tornado,1.0,2000000,-4.393,-2.223,3.789
2,0,permutation_random,0.6,100000,0.683,0.539,0.000
2,0,permutation_random,0.6,2000000,-2.429,-2.960,0.036
2,0,permutation_random,0.7,100000,1.573,3.697,0.000
2,0,permutation_random,0.7,2000000,-3.347,-5.340,0.152
2,0,permutation_random,0.8,100000,1.117,3.483,0.000
2,0,permutation_random,0.8,2000000,-3.479,-4.854,0.299
2,0,permutation_random,0.9,100000,1.555,2.484,0.000
2,0,permutation_random,0.9,2000000,-3.044,-5.603,0.481
2,20,tornado,0.25,100000,0.308,0.221,0.000
2,20,tornado,0.25,2000000,3.949,4.245,0.773
2,20,tornado,0.5,100000,1.248,2.837,0.000
2,20,tornado,0.5,2000000,10.468,15.890,3.319
2,20,tornado,0.75,100000,1.616,3.536,0.000
2,20,tornado,0.75,2000000,3.460,-13.276,3.664
2,20,tornado,1.0,100000,1.266,3.528,0.000
2,20,tornado,1.0,2000000,-5.159,-0.789,3.140
2,20,permutation_random,0.6,100000,0.683,0.539,0.000
2,20,permutation_random,0.6,2000000,-4.099,-4.348,0.016
2,20,permutation_random,0.7,100000,1.573,3.697,0.000
2,20,permutation_random,0.7,2000000,-3.702,-6.669,0.148
