sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct,rtx_rate_pct,nack_rate_pct,ref_rtx_rate_pct,ref_nack_rate_pct
warmup_rtts,0,permutation,0.6,500000,85.81,101.47,22.841580632727783,32.07260648175466,17.124,17.124,0.020,0.020
warmup_rtts,0,permutation,0.7,500000,93.69,109.81,21.305562678185552,29.49328645632286,20.247,20.247,0.206,0.206
warmup_rtts,0,permutation,0.8,500000,101.03,117.27,19.517210437416427,28.48386482971506,22.583,22.583,0.749,0.749
warmup_rtts,0,permutation,0.9,500000,107.99,125.59,18.72888792463301,28.55257990564555,24.186,24.186,1.499,1.499
warmup_rtts,0,tornado,0.25,500000,72.54,87.04,31.07268422523101,49.14153664968264,11.864,11.864,0.000,0.000
warmup_rtts,0,tornado,0.5,500000,95.93,114.69,51.74832750786126,60.44120842686833,23.861,23.861,0.000,0.000
warmup_rtts,0,tornado,0.75,500000,108.09,125.85,31.59941224286793,40.912451680638554,26.745,26.745,0.279,0.279
warmup_rtts,0,tornado,1.0,500000,121.06,142.98,23.035086785964246,37.77860577463566,28.352,28.352,2.340,2.340
warmup_rtts,0.5,permutation,0.6,500000,79.89,92.42,14.36533675035794,20.300649772128526,14.712,14.712,0.020,0.020
warmup_rtts,0.5,permutation,0.7,500000,87.20,98.40,12.902550147564776,16.040491170858676,17.668,17.668,0.206,0.206
warmup_rtts,0.5,permutation,0.8,500000,92.95,106.45,9.966585304994041,16.629237858402607,19.446,19.446,0.749,0.749
warmup_rtts,0.5,permutation,0.9,500000,98.26,111.22,8.028140570377714,13.842236911107758,20.619,20.619,1.499,1.499
warmup_rtts,0.5,tornado,0.25,500000,67.36,76.20,21.70851482799723,30.56884584213139,8.741,8.741,0.000,0.000
warmup_rtts,0.5,tornado,0.5,500000,84.76,97.82,34.081560832315375,36.83919693127546,21.024,21.024,0.000,0.000
warmup_rtts,0.5,tornado,0.75,500000,96.54,110.09,17.539361447419648,23.27096277435712,24.401,24.401,0.279,0.279
warmup_rtts,0.5,tornado,1.0,500000,107.73,123.48,9.491882475367285,18.989037250222438,25.430,25.430,2.340,2.340
warmup_rtts,1,permutation,0.6,500000,74.84,82.55,7.135004498891184,7.447475017441797,11.677,11.677,0.020,0.020
warmup_rtts,1,permutation,0.7,500000,79.80,88.95,3.331187088354461,4.894805818640375,13.699,13.699,0.206,0.206
warmup_rtts,1,permutation,0.8,500000,85.64,94.80,1.318743125074471,3.8635368415978064,14.852,14.852,0.749,0.749
warmup_rtts,1,permutation,0.9,500000,91.32,100.06,0.3977036774773026,2.4253266017551827,15.699,15.699,1.499,1.499
warmup_rtts,1,tornado,0.25,500000,65.09,72.26,17.614719338979633,23.81114206096315,6.940,6.940,0.000,0.000
warmup_rtts,1,tornado,0.5,500000,76.72,85.83,21.367566220438942,20.06496698024784,18.298,18.298,0.000,0.000
warmup_rtts,1,tornado,0.75,500000,85.16,93.76,3.6886066163599085,4.986882811948903,18.762,18.762,0.279,0.279
warmup_rtts,1,tornado,1.0,500000,98.12,106.77,-0.27241996330553114,2.889245070295864,18.980,18.980,2.340,2.340
warmup_rtts,2,permutation,0.6,500000,78.04,84.13,11.723234833568323,9.50473965727297,8.647,8.647,0.020,0.020
warmup_rtts,2,permutation,0.7,500000,82.60,87.76,6.95212745032732,3.4901071635504084,12.800,12.800,0.206,0.206
warmup_rtts,2,permutation,0.8,500000,85.98,91.93,1.7162202387812726,0.7184943356438253,13.859,13.859,0.749,0.749
warmup_rtts,2,permutation,0.9,500000,89.59,96.06,-1.503560763470524,-1.67807229474731,13.806,13.806,1.499,1.499
warmup_rtts,2,tornado,0.25,500000,66.45,69.53,20.07775074464899,19.14332434156679,1.162,1.162,0.000,0.000
warmup_rtts,2,tornado,0.5,500000,74.01,80.78,17.074349340406627,13.007758545918483,14.618,14.618,0.000,0.000
warmup_rtts,2,tornado,0.75,500000,81.45,89.20,-0.8335335762115705,-0.12742091337728984,17.690,17.690,0.279,0.279
warmup_rtts,2,tornado,1.0,500000,96.09,104.12,-2.3408113788153884,0.3292358195723486,14.974,14.974,2.340,2.340
warmup_rtts,4,permutation,0.6,500000,73.89,81.61,5.781479831553687,6.228935338648598,0.340,0.340,0.020,0.020
warmup_rtts,4,permutation,0.7,500000,78.68,84.81,1.877720417863311,0.015644887777411617,0.893,0.893,0.206,0.206
warmup_rtts,4,permutation,0.8,500000,82.59,90.29,-2.2992166480804523,-1.0708571349266862,1.656,1.656,0.749,0.749
