threshold_frac,threshold_bytes,pattern,load,fs,seed,mean,p99,rtx_pct
0.5,103750,tornado,0.5,2000000,1,277.01685818181835,671.651,0.7150278293135436
0.5,103750,tornado,0.5,2000000,2,288.1925818181819,627.857,0.561038961038961
0.5,103750,tornado,0.5,2000000,3,281.8811363636362,594.12,0.6823747680890538
0.75,155625,tornado,0.5,2000000,1,363.63230545454536,832.158,0.6207792207792208
0.75,155625,tornado,0.5,2000000,2,378.23898363636357,814.762,0.462708719851577
0.75,155625,tornado,0.5,2000000,3,374.0907709090907,845.628,0.5539888682745826
0.9,186750,tornado,0.5,2000000,1,428.54815818181766,953.137,0.5547309833024119
0.9,186750,tornado,0.5,2000000,2,437.03085272727293,920.922,0.39591836734693875
0.9,186750,tornado,0.5,2000000,3,432.83014363636374,890.082,0.49944341372912804
0.1,20750,tornado,0.5,10000000,1,1153.3441127272717,2977.33,0.20967023172905525
0.1,20750,tornado,0.5,10000000,2,1144.83021090909,2599.59,0.2335858585858586
0.1,20750,tornado,0.5,10000000,3,1145.1995090909093,2479.82,0.26255199049316696
0.25,51875,tornado,0.5,10000000,1,1179.8272272727268,3077.92,0.1737225193107546
0.25,51875,tornado,0.5,10000000,2,1184.2352836363639,2577.5,0.1587195484254308
0.25,51875,tornado,0.5,10000000,3,1176.2893836363635,2776.89,0.18746286393345216
0.5,103750,tornado,0.5,10000000,1,1282.523325454546,3172.45,0.14490493166963755
0.5,103750,tornado,0.5,10000000,2,1318.9662254545453,2897.15,0.11229946524064172
0.5,103750,tornado,0.5,10000000,3,1305.515134545455,2647.75,0.13658645276292336
0.75,155625,tornado,0.5,10000000,1,2719.3177018181814,6430.48,0.12425727866904338
0.75,155625,tornado,0.5,10000000,2,2825.417616363637,6294.5,0.09261734997029114
0.75,155625,tornado,0.5,10000000,3,2778.056334545455,6499.61,0.11088829471182413
0.9,186750,tornado,0.5,10000000,1,3547.3036472727244,6840.17,0.11103683897801545
0.9,186750,tornado,0.5,10000000,2,3591.4546963636367,6821.77,0.07924836601307189
0.9,186750,tornado,0.5,10000000,3,3617.698465454546,7063.28,0.09997029114676173
0.1,20750,tornado,0.75,100000,1,27.163854424242402,35.7376,0.1406060606060606
0.1,20750,tornado,0.75,100000,2,26.946984848484934,35.0736,0.0
0.1,20750,tornado,0.75,100000,3,27.060736727272737,35.9677,0.0
0.25,51875,tornado,0.75,100000,1,27.906153818181817,41.9709,0.17454545454545456
0.25,51875,tornado,0.75,100000,2,27.93751587878787,38.7038,0.0
0.25,51875,tornado,0.75,100000,3,27.93020145454542,40.4528,0.05333333333333334
0.5,103750,tornado,0.75,100000,1,31.30158363636362,44.9947,0.1890909090909091
0.5,103750,tornado,0.75,100000,2,31.36464957575758,41.0536,0.0
0.5,103750,tornado,0.75,100000,3,31.264943030303026,45.6976,0.06787878787878789
0.75,155625,tornado,0.75,100000,1,35.39460836363637,46.3963,0.16
0.75,155625,tornado,0.75,100000,2,35.48496896969701,44.2216,0.0
0.75,155625,tornado,0.75,100000,3,35.398480242424256,46.1947,0.02909090909090909
0.9,186750,tornado,0.75,100000,1,38.77217636363642,49.3616,0.7660606060606061
0.9,186750,tornado,0.75,100000,2,38.836326303030354,49.217,0.5963636363636363
0.9,186750,tornado,0.75,100000,3,38.678263272727335,49.7653,0.6642424242424242
0.1,20750,tornado,0.75,500000,1,77.10937745454548,118.984,4.589307711258931
0.1,20750,tornado,0.75,500000,2,76.95300715151524,113.091,4.394185760039418
0.1,20750,tornado,0.75,500000,3,76.59355030303036,123.2,4.957871396895787
0.25,51875,tornado,0.75,500000,1,82.47130472727277,147.12,3.1278640059127865
0.25,51875,tornado,0.75,500000,2,82.28564339393942,132.182,3.3515644247351566
0.25,51875,tornado,0.75,500000,3,81.69626,140.864,3.3426952451342697
0.5,103750,tornado,0.75,500000,1,87.30907612121213,169.47,2.6302044838630203
0.5,103750,tornado,0.75,500000,2,87.92136036363635,151.532,2.816457255481646
0.5,103750,tornado,0.75,500000,3,87.58309090909084,165.346,2.6016260162601625
0.75,155625,tornado,0.75,500000,1,91.75456860606056,173.123,2.4134023158413402
0.75,155625,tornado,0.75,500000,2,92.48363527272724,158.022,2.392707563439271
0.75,155625,tornado,0.75,500000,3,92.15967042424242,175.667,2.255728011825573
0.9,186750,tornado,0.75,500000,1,95.52227296969696,178.174,2.4587336782458733
0.9,186750,tornado,0.75,500000,2,96.07392860606059,162.819,2.3828529194382853
0.9,186750,tornado,0.75,500000,3,95.78888642424238,179.722,2.2892338014289235
0.1,20750,tornado,0.75,2000000,1,261.4298618181819,544.501,1.9708101422387136
