pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,duration_s,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,500000,5,58.02,1100,449.0875589090916,411.603,729.408,18351.8,66.2478,135300,43589,274,0,111122,42359,0,0,32.21655580192166,0.2025129342202513,31.307464892830748,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,500000,5,43.33,1100,399.3701983636366,387.474,711.867,3458.91,65.7952,135300,44208,51,0,116294,43354,0,0,32.674057649667404,0.037694013303769404,32.04286770140428,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,500000,5,40.04,1100,384.0372229999999,383.756,711.677,1080.18,67.0843,135300,44914,16,0,124248,44170,0,0,33.195861049519586,0.011825572801182557,32.6459719142646,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,500000,5,47.06,1100,380.8195242727274,373.847,698.2,1545.58,67.0554,135300,46983,32,0,125279,46237,0,0,34.72505543237251,0.023651145602365115,34.17368810051737,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,500000,5,3.35,1100,395.78390181818185,398.876,635.647,672.011,127.611,135300,48031,0,0,127530,48031,0,0,35.49963045084996,0.0,35.49963045084996,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,2000000,1,74.14,1100,1699.8482463636365,1640.41,3536.6,3724.51,473.621,539000,43512,569,0,397820,42311,0,0,8.072727272727272,0.10556586270871986,7.849907235621521,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,2000000,1,150.06,1100,1739.9202381818177,1607.03,3491.05,72413.2,304.838,539000,48151,1369,0,429748,45323,0,0,8.933395176252318,0.25398886827458256,8.408719851576995,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,2000000,1,137.79,1100,1593.4260627272722,1577.94,3546.1,4368.38,270.452,539000,45773,657,0,480780,43580,0,0,8.492207792207791,0.12189239332096476,8.08534322820037,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,2000000,1,135.59,1100,1548.7603009090906,1557.15,3276.99,3609.82,202.127,539000,47164,735,0,510582,44256,0,0,8.750278293135436,0.13636363636363635,8.210760667903525,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,2000000,1,139.3,1100,1498.6359836363604,1479.09,3278.92,3599.88,202.601,539000,60120,660,0,513828,57099,0,0,11.153988868274583,0.12244897959183673,10.593506493506494,0.0
