paths,pattern,load,fs,seed,mean,p99,rtx_pct
64,permutation,0.8,2000000,1,273.6765840909092,365.502,2.0387291280148423
64,permutation,0.8,2000000,2,272.9750181818179,362.174,2.1192022263450836
64,permutation,0.8,2000000,3,274.0832238636361,363.247,2.073051948051948
128,permutation,0.8,2000000,1,270.64298863636316,349.999,2.1066790352504636
128,permutation,0.8,2000000,2,269.9530397727275,345.33,2.0018552875695734
128,permutation,0.8,2000000,3,270.29358636363656,350.736,2.038033395176252
256,permutation,0.8,2000000,1,269.0500079545455,346.087,2.0384972170686457
256,permutation,0.8,2000000,2,267.5843602272726,335.876,2.0104359925788495
256,permutation,0.8,2000000,3,267.9685965909093,335.499,2.038961038961039
8,permutation,0.9,2000000,1,342.9314777777777,546.227,2.976499690785405
8,permutation,0.9,2000000,2,336.9856010101008,550.437,2.8431251288394144
8,permutation,0.9,2000000,3,339.82299797979783,547.138,2.8946608946608947
16,permutation,0.9,2000000,1,317.97094848484846,491.493,2.6695526695526697
16,permutation,0.9,2000000,2,314.8916979797979,483.426,2.6204906204906204
16,permutation,0.9,2000000,3,313.64591212121206,474.307,2.6689342403628116
32,permutation,0.9,2000000,1,306.2968959595961,439.664,2.434961863533292
32,permutation,0.9,2000000,2,303.5185393939391,433.47,2.5285508142651
32,permutation,0.9,2000000,3,304.93852323232306,439.091,2.4566068851783136
64,permutation,0.9,2000000,1,299.81975252525217,412.476,2.3541537827252115
64,permutation,0.9,2000000,2,298.5726969696966,400.07,2.3924963924963927
64,permutation,0.9,2000000,3,298.9424959595965,416.226,2.277262420119563
128,permutation,0.9,2000000,1,295.70013434343406,402.684,2.3656977942692228
128,permutation,0.9,2000000,2,295.48872424242387,407.882,2.303854875283447
128,permutation,0.9,2000000,3,296.2025464646464,399.469,2.254380540094826
256,permutation,0.9,2000000,1,294.11505454545517,381.307,2.292517006802721
256,permutation,0.9,2000000,2,294.4619888888887,394.03,2.3040610183467325
256,permutation,0.9,2000000,3,293.8652595959597,389.268,2.272521129663987
